device,prefix,instant,payload,company
3182,RUS00,2018-12-10T10:55:40-02:00,">RUS00,101218095501,-23.70041,-046.53713<",acme
3090,RAX11,2018-12-10T10:55:40-02:00,">RAX11,101218095515,-23.72556,-046.52547<",acme
3154,RUS00,2018-12-10T10:55:40-02:00,">RUS00,101218095531,-23.74806,-046.52986<",acme
3105,RUS00,2018-12-10T10:55:39-02:00,">RUS00,101218095531,-23.71799,-046.52777<",acme
3113,RAX11,2018-12-10T10:55:39-02:00,">RAX11,101218095538,-23.70713,-046.53106<",acme
3356,RUS00,2018-12-10T10:55:39-02:00,">RUS00,101218095538,-23.74254,-046.53134<",acme
3123,RAX11,2018-12-10T10:55:39-02:00,">RAX11,101218095538,-23.69000,-046.55947<",acme
3019,RUS00,2018-12-10T10:55:39-02:00,">RUS00,101218095538,-23.69931,-046.55308<",acme
3244,RUS00,2018-12-10T10:55:39-02:00,">RUS00,101218095431,-23.72810,-046.52630<",acme
3056,RAX12,2018-12-10T10:55:39-02:00,">RAX12,101218095535,-23.78060,-046.52762<",acme
3272,RAX11,2018-12-10T10:55:39-02:00,">RAX11,101218095538,-23.81008,-046.54421<",acme
3056,RUS00,2018-12-10T10:55:38-02:00,">RUS00,101218095532,-23.78098,-046.52754<",acme
3144,RUS00,2018-12-10T10:55:38-02:00,">RUS00,101218095537,-23.65138,-046.57571<",acme
3274,RUS00,2018-12-10T10:55:38-02:00,">RUS00,101218095537,-23.69980,-046.55201<",acme
3105,RUS00,2018-12-10T10:55:38-02:00,">RUS00,101218095501,-23.71648,-046.52928<",acme
3182,RAX12,2018-12-10T10:55:38-02:00,">RAX12,101218095452,-23.70039,-046.53763<",acme
3175,RAX11,2018-12-10T10:55:38-02:00,">RAX11,101218095522,-23.71881,-046.55981<",acme
3056,RAX11,2018-12-10T10:55:37-02:00,">RAX11,101218095524,-23.78210,-046.52715<",acme
3056,RAX12,2018-12-10T10:55:37-02:00,">RAX12,101218095507,-23.78405,-046.52577<",acme
3182,RAX11,2018-12-10T10:55:37-02:00,">RAX11,101218095439,-23.70006,-046.53843<",acme
3169,RAX12,2018-12-10T10:55:37-02:00,">RAX12,101218095457,-23.78192,-046.50399<",acme
